ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
H4515;-14.43024509;16.48815112;22:00;FEED;Diner;cour
H4515;-14.43002349;16.48810686;23:00;REST;dormir;chambre
H4517;-14.43002349;16.48810686;06:00;WANDER;pri‚re+ pr‚paratif ‚cole;chambre
H4517;233;0;07:40;STILL;aller … l'‚cole;School
H4517;-14.4302948;16.4881511;14:00;FEED;d‚jeuner;cour 
H4517;-14.4302948;16.4881511;15:00;WANDER;pr‚parer le th‚;cour
H4517;-14.43004132;16.48804817;16:00;REST;dormir;chambre
H4517;-14.43040443;16.48837162;17:00;WANDER;Pr‚parer diner;cuisine
H4517;-14.4302948;16.4881511;20:00;REST;repos;cour
H4517;-14.4302948;16.4881511;21:00;FEED;diner;cour
H4517;-14.43012685;16.48800918;21:30;STILL;R‚viser;Salon
H4517;-14.43004132;16.48804817;23:00;REST;Dormir;chambre 
H4524;-14.43003858;16.48800627;06:00;WANDER;pri‚re+ pr‚paratif ‚cole;chambre
H4524;-14.43094395;16.48898178;07:40;STILL;aller … l'‚cole coranique;Gall‚ Baba
H4524;-14.43036789;16.48805603;12:00;WANDER;Jouer;cour
H4524;-14.43036789;16.48805603;14:00;FEED;d‚jeuner;cour 
H4524;-14.43036789;16.48805603;15:00;STILL;Repos;cour
